product, format, threads, cavity10.mtx, roadNet-PA.mtx, nlpkkt80.mtx, mac_econ_fwd500.mtx, thermomech_TK.mtx, PR02R.mtx, thermal2.mtx, FEM_3D_thermal1.mtx, olafu.mtx, amazon0302.mtx, adder_dcop_32.mtx, rdist2.mtx, olm1000.mtx, webbase-1M.mtx, cant.mtx, af_1_k101.mtx, mhd4800a.mtx, thermal1.mtx, cop20k_A.mtx, bcsstk17.mtx, raefsky2.mtx, cage4.mtx, Cube_Coup_dt0.mtx, mcfe.mtx, west2021.mtx, ML_Laplace.mtx, lung2.mtx, af23560.mtx, dc1.mtx
2, 2, 23, 5.45258e+09, 3.18896e+09, 4.41265e+09, 2.96509e+09, 6.33977e+09, 5.58345e+09, 3.02057e+09, 9.29408e+08, 6.34663e+09, 3.92013e+09, 1.16858e+08, 2.09997e+08, 1.50659e+07, 2.10531e+09, 7.32158e+09, 4.77695e+09, 2.41015e+08, 2.04499e+09, 3.64587e+09, 6.08599e+08, 2.425e+09, 257347, 6.00644e+09, 4.41002e+07, 1.16725e+08, 4.86299e+09, 6.62344e+09, 8.91804e+09, 1.39187e+09
2, 2, 24, 5.798e+09, 3.02227e+09, 4.27654e+09, 1.8232e+09, 6.54577e+09, 5.51062e+09, 3.0857e+09, 8.71145e+08, 3.41473e+09, 4.33994e+09, 5.49783e+08, 1.45353e+09, 1.45618e+07, 2.17951e+09, 7.28287e+09, 4.88976e+09, 3.42812e+08, 7.07622e+08, 3.85743e+09, 8.83926e+08, 6.59143e+09, 1.8625e+06, 6.05149e+09, 3.93014e+07, 5.91498e+08, 4.89519e+09, 6.90454e+09, 9.20116e+09, 1.36387e+09
2, 2, 25, 5.94189e+09, 3.41827e+09, 4.30714e+09, 2.92576e+09, 6.8491e+09, 5.50594e+09, 3.20414e+09, 6.99381e+08, 1.58494e+09, 4.62471e+09, 8.97687e+08, 2.09206e+08, 1.44369e+07, 2.23386e+09, 7.54197e+09, 4.86714e+09, 3.60725e+08, 3.95275e+09, 4.08137e+09, 7.32894e+08, 1.31764e+09, 4.55765e+06, 6.14285e+09, 3.60123e+07, 8.13531e+08, 4.87559e+09, 7.3444e+09, 2.35088e+09, 2.27887e+09
2, 2, 26, 5.53217e+09, 3.51297e+09, 4.21087e+09, 7.29486e+09, 2.30312e+09, 5.43683e+09, 3.29841e+09, 7.23527e+08, 6.89244e+09, 4.78608e+09, 8.10191e+08, 1.91181e+08, 1.07331e+08, 2.26972e+09, 7.93918e+09, 4.87083e+09, 6.00693e+08, 7.53296e+09, 4.2839e+09, 1.21381e+09, 5.67215e+09, 4.98369e+06, 6.29728e+09, 4.94187e+07, 7.96163e+08, 4.73474e+09, 7.58868e+09, 7.74028e+09, 2.50002e+09
2, 2, 27, 5.84655e+09, 3.66804e+09, 4.3811e+09, 8.81761e+09, 2.18158e+09, 5.42573e+09, 3.26236e+09, 2.76842e+09, 3.07601e+09, 5.0669e+09, 9.53354e+08, 2.54089e+08, 5.28533e+07, 2.31925e+09, 8.61385e+09, 4.85782e+09, 3.78858e+08, 8.50675e+09, 4.04618e+09, 7.27862e+08, 8.88874e+09, 5.3853e+06, 6.37332e+09, 3.78057e+08, 1.06483e+09, 4.77527e+09, 7.90967e+09, 8.00271e+09, 2.51271e+09
2, 2, 28, 5.14668e+09, 3.81492e+09, 4.43981e+09, 7.90566e+09, 1.2258e+09, 5.38036e+09, 3.18193e+09, 7.6138e+08, 2.93151e+09, 4.85752e+09, 8.97397e+08, 1.62931e+09, 3.20723e+07, 2.39213e+09, 9.13486e+09, 4.84081e+09, 1.699e+08, 8.81204e+09, 4.67755e+09, 1.20224e+09, 9.45236e+09, 288379, 6.33132e+09, 1.09874e+09, 9.08546e+08, 4.78091e+09, 8.18754e+09, 1.05575e+09, 2.5606e+09
2, 2, 29, 4.74942e+09, 3.94406e+09, 4.45072e+09, 9.38531e+09, 2.06084e+09, 5.3969e+09, 3.10713e+09, 7.71988e+08, 1.59296e+09, 5.26946e+09, 1.16883e+09, 4.19632e+08, 1.05157e+08, 2.44591e+09, 9.73485e+09, 4.92782e+09, 3.05365e+08, 9.10309e+09, 4.87819e+09, 7.2804e+08, 4.8237e+09, 2.00093e+06, 6.21554e+09, 1.2962e+09, 2.33935e+08, 4.85915e+09, 6.06298e+09, 1.66014e+09, 2.55374e+09
2, 2, 30, 5.92894e+09, 4.05639e+09, 4.31446e+09, 9.71062e+09, 1.24714e+09, 5.2915e+09, 3.57694e+09, 4.67325e+08, 2.59853e+09, 5.75842e+09, 1.17571e+09, 2.2002e+09, 2.25595e+07, 2.4896e+09, 1.00752e+10, 6.56943e+09, 2.15479e+08, 9.30024e+09, 4.96219e+09, 1.21891e+09, 9.1542e+09, 204193, 5.9112e+09, 1.32073e+09, 7.60621e+08, 4.90568e+09, 8.33562e+09, 8.37287e+08, 2.57455e+09
2, 2, 31, 2.80057e+08, 3.72996e+09, 4.56207e+09, 1.01059e+10, 1.58155e+09, 5.25069e+09, 3.16927e+09, 1.16777e+09, 1.57473e+09, 6.08558e+09, 9.97344e+08, 2.09933e+08, 5.81265e+07, 2.56154e+09, 1.04017e+10, 6.86062e+09, 2.26836e+08, 9.54718e+09, 5.5065e+09, 1.23035e+09, 1.02701e+10, 1.55385e+06, 6.58899e+09, 1.50198e+09, 8.04995e+08, 4.92953e+09, 8.77629e+09, 5.22974e+08, 2.57027e+09
2, 2, 32, 1.31083e+08, 3.48778e+09, 4.50559e+09, 1.07948e+10, 1.36577e+09, 5.23162e+09, 3.3038e+09, 1.21932e+09, 5.62131e+09, 6.32225e+09, 4.19717e+07, 4.23454e+08, 7.14551e+07, 2.61442e+09, 1.04169e+10, 6.88431e+09, 1.72312e+08, 1.00618e+10, 5.71578e+09, 1.23822e+09, 1.01756e+10, 4.75257e+06, 6.77871e+09, 1.51566e+09, 7.9875e+08, 4.99798e+09, 3.03498e+09, 1.30616e+09, 2.58858e+09
