product, format, threads, cavity10.mtx, roadNet-PA.mtx, nlpkkt80.mtx, mac_econ_fwd500.mtx, thermomech_TK.mtx, PR02R.mtx, thermal2.mtx, FEM_3D_thermal1.mtx, olafu.mtx, amazon0302.mtx, adder_dcop_32.mtx, rdist2.mtx, olm1000.mtx, webbase-1M.mtx, cant.mtx, af_1_k101.mtx, mhd4800a.mtx, thermal1.mtx, cop20k_A.mtx, bcsstk17.mtx, raefsky2.mtx, cage4.mtx, Cube_Coup_dt0.mtx, mcfe.mtx, west2021.mtx, ML_Laplace.mtx, lung2.mtx, af23560.mtx, dc1.mtx
omp, csr, 1,4.81228e+09 ,4.50241e+09 ,7.66864e+09 ,6.73246e+09 ,5.17044e+09 ,3.65843e+09 ,8.02648e+09 ,8.70773e+09 ,5.75193e+09 ,8.17356e+08 ,1.32805e+09 ,1.48793e+07 ,2.18064e+09 ,8.94533e+09 ,4.7274e+09 ,2.80401e+08 ,7.08591e+09 ,3.24182e+09 ,6.65518e+08 ,4.2314e+09 ,4.88255e+06 ,7.4412e+09 ,2.0132e+09 ,1.85161e+08 ,5.18055e+09 ,4.78327e+09 ,8.24066e+09 ,1.45865e+09 ,0 
omp, csr, 1,5.01705e+09 ,4.54651e+09 ,8.0011e+09 ,7.04147e+09 ,5.10753e+09 ,3.64746e+09 ,8.1614e+09 ,8.92067e+09 ,5.88473e+09 ,8.09333e+08 ,3.19263e+09 ,1.07992e+08 ,2.21164e+09 ,9.08857e+09 ,4.69329e+09 ,2.31903e+08 ,7.42371e+09 ,4.54633e+09 ,1.15162e+09 ,6.10733e+09 ,5.13879e+06 ,7.3209e+09 ,1.87608e+09 ,4.05164e+08 ,5.19148e+09 ,6.74419e+09 ,8.60556e+09 ,1.47426e+09 ,0 
cuda, ellpack, 1,-1 ,-1 ,2.4805e+10 ,-1 ,7.4643e+09 ,3.02478e+10 ,7.10064e+09 ,1.71055e+10 ,2.95055e+10 ,4.60876e+09 ,-1 ,-1 ,7.73041e+08 ,-1 ,3.33281e+10 ,2.78635e+10 ,9.29496e+09 ,7.34319e+09 ,-1 ,-1 ,2.30636e+10 ,1.17391e+07 ,3.84109e+10 ,-1 ,-1 ,3.91331e+10 ,4.1996e+09 ,1.56792e+10 ,-1 
cuda, csr, 1,8.98858e+09 ,2.24338e+09 ,2.35294e+10 ,5.63821e+09 ,7.2144e+09 ,3.4012e+10 ,6.47027e+09 ,1.63211e+10 ,3.53929e+10 ,4.25766e+09 ,1.66711e+09 ,6.91561e+09 ,9.34164e+08 ,2.42361e+09 ,3.79994e+10 ,2.62764e+10 ,1.01457e+10 ,6.90724e+09 ,1.94145e+10 ,2.38682e+10 ,2.88409e+10 ,1.34696e+07 ,4.34581e+10 ,4.47533e+09 ,1.25827e+09 ,4.52423e+10 ,4.04668e+09 ,1.54714e+10 ,5.82765e+09 
cuda, ellpack, 1,-1 ,-1 ,2.46808e+10 ,-1 ,7.55844e+09 ,3.07014e+10 ,7.0502e+09 ,1.7223e+10 ,3.15459e+10 ,4.60943e+09 ,-1 ,-1 ,8.64263e+08 ,-1 ,3.36451e+10 ,2.73007e+10 ,9.29248e+09 ,7.29623e+09 ,-1 ,-1 ,2.43618e+10 ,1.28259e+07 ,3.83507e+10 ,-1 ,-1 ,3.89908e+10 ,4.21783e+09 ,1.59016e+10 ,-1 
cuda, csr, 1,8.64819e+09 ,2.24007e+09 ,2.3554e+10 ,5.66781e+09 ,7.14287e+09 ,3.35958e+10 ,6.72519e+09 ,1.62586e+10 ,3.4908e+10 ,4.21152e+09 ,1.66191e+09 ,6.70074e+09 ,8.9403e+08 ,2.42492e+09 ,3.88153e+10 ,2.69996e+10 ,1.0237e+10 ,7.02011e+09 ,1.96493e+10 ,2.39141e+10 ,2.81522e+10 ,1.32768e+07 ,4.35281e+10 ,4.4431e+09 ,1.25861e+09 ,4.49292e+10 ,4.0255e+09 ,1.53536e+10 ,5.88117e+09 
cuda, csr, 1,8.43722e+09 ,2.08023e+09 ,2.19489e+10 ,5.2291e+09 ,6.57655e+09 ,3.15289e+10 ,5.91447e+09 ,1.53856e+10 ,3.64536e+10 ,3.95928e+09 ,1.54801e+09 ,6.57928e+09 ,8.73698e+08 ,2.30503e+09 ,3.72274e+10 ,2.56624e+10 ,9.48609e+09 ,6.40493e+09 ,1.84502e+10 ,2.30021e+10 ,2.65393e+10 ,1.35407e+07 ,4.54405e+10 ,4.40434e+09 ,1.17705e+09 ,4.46682e+10 ,3.75811e+09 ,1.3235e+10 ,5.0924e+09 
cuda, csr, 1,8.74805e+09 ,2.38404e+09 ,2.59294e+10 ,6.00652e+09 ,7.59593e+09 ,3.47753e+10 ,7.1165e+09 ,1.72615e+10 ,3.72396e+10 ,4.64369e+09 ,1.77421e+09 ,7.46555e+09 ,9.26896e+08 ,2.58169e+09 ,3.99648e+10 ,2.81842e+10 ,1.06299e+10 ,7.11966e+09 ,2.01729e+10 ,2.41734e+10 ,2.80449e+10 ,1.32309e+07 ,4.56689e+10 ,4.84685e+09 ,1.39671e+09 ,4.74074e+10 ,4.25032e+09 ,1.51533e+10 ,5.946e+09 
cuda, csr, 1,8.74645e+09 ,2.601e+09 ,2.87234e+10 ,6.46628e+09 ,8.10393e+09 ,3.61385e+10 ,7.53507e+09 ,1.76078e+10 ,3.72139e+10 ,4.91868e+09 ,1.78908e+09 ,7.80792e+09 ,9.58566e+08 ,2.8502e+09 ,4.04639e+10 ,2.92979e+10 ,1.1663e+10 ,8.00769e+09 ,2.23293e+10 ,2.58611e+10 ,3.03249e+10 ,1.29734e+07 ,4.89709e+10 ,4.80246e+09 ,1.39544e+09 ,4.8964e+10 ,4.63366e+09 ,1.55997e+10 ,5.54807e+09 
cuda, csr, 1,9.22842e+09 ,2.70121e+09 ,2.97378e+10 ,6.71859e+09 ,8.4009e+09 ,3.618e+10 ,7.86258e+09 ,1.81203e+10 ,3.83361e+10 ,4.97005e+09 ,1.73441e+09 ,7.76869e+09 ,9.58933e+08 ,2.97741e+09 ,4.27891e+10 ,2.9413e+10 ,1.16082e+10 ,8.13216e+09 ,2.31157e+10 ,2.59644e+10 ,3.05516e+10 ,1.38788e+07 ,5.04935e+10 ,4.64577e+09 ,1.35232e+09 ,4.88549e+10 ,4.76246e+09 ,1.77332e+10 ,5.54282e+09 
cuda, ellpack, 1,-1 ,-1 ,3.17499e+10 ,-1 ,9.13408e+09 ,2.97984e+10 ,8.61425e+09 ,1.94151e+10 ,3.2144e+10 ,5.49819e+09 ,-1 ,-1 ,9.49606e+08 ,-1 ,3.40313e+10 ,2.97378e+10 ,1.13252e+10 ,8.90964e+09 ,-1 ,-1 ,2.77971e+10 ,1.28103e+07 ,3.71161e+10 ,-1 ,-1 ,4.14526e+10 ,5.24006e+09 ,1.87036e+10 ,-1 
cuda, ellpack, 1,-1 ,-1 ,3.01496e+10 ,-1 ,8.50958e+09 ,3.2169e+10 ,8.38198e+09 ,1.85177e+10 ,3.13451e+10 ,5.3596e+09 ,-1 ,-1 ,8.93112e+08 ,-1 ,3.4706e+10 ,2.90387e+10 ,1.10226e+10 ,8.49095e+09 ,-1 ,-1 ,2.49832e+10 ,1.07807e+07 ,3.87925e+10 ,-1 ,-1 ,4.10746e+10 ,4.90577e+09 ,1.7534e+10 ,-1 
cuda, csr, 1,8.78024e+09 ,2.70119e+09 ,2.93098e+10 ,6.70349e+09 ,8.36332e+09 ,3.65496e+10 ,7.9214e+09 ,1.79255e+10 ,3.75762e+10 ,4.95592e+09 ,1.79142e+09 ,7.68151e+09 ,9.98017e+08 ,2.97651e+09 ,4.22636e+10 ,2.95853e+10 ,1.20191e+10 ,8.29142e+09 ,2.28189e+10 ,2.63501e+10 ,3.06331e+10 ,1.39547e+07 ,5.04593e+10 ,4.93444e+09 ,1.44321e+09 ,4.90422e+10 ,4.78825e+09 ,1.78062e+10 ,5.54198e+09 
